"station","latitude","longitude","date","species","detected","hours_recorded","hours_detected"
"GOM01",42.3,-70.3,"2024-03-01","RIWH","Y",20,3
"GOM01",42.3,-70.3,"2024-03-02","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-03","RIWH","Y",20,3
"GOM01",42.3,-70.3,"2024-03-04","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-05","RIWH",,,
"GOM01",42.3,-70.3,"2024-03-06","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-03-07","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-08","RIWH","Y",24,3
"GOM01",42.3,-70.3,"2024-03-09","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-10","RIWH","Y",24,2
"GOM01",42.3,-70.3,"2024-03-11","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-03-12","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-13","RIWH","Y",24,5
"GOM01",42.3,-70.3,"2024-03-14","RIWH",,,
"GOM01",42.3,-70.3,"2024-03-15","RIWH",,,
"GOM01",42.3,-70.3,"2024-03-16","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-17","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-18","RIWH",,,
"GOM01",42.3,-70.3,"2024-03-19","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-20","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-21","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-22","RIWH","Y",24,1
"GOM01",42.3,-70.3,"2024-03-23","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-24","RIWH","Y",24,3
"GOM01",42.3,-70.3,"2024-03-25","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-03-26","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-03-27","RIWH",,,
"GOM01",42.3,-70.3,"2024-03-28","RIWH",,,
"GOM01",42.3,-70.3,"2024-03-29","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-03-30","RIWH",,,
"GOM01",42.3,-70.3,"2024-03-31","RIWH","Y",20,2
"GOM01",42.3,-70.3,"2024-04-01","RIWH",,,
"GOM01",42.3,-70.3,"2024-04-02","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-03","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-04","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-05","RIWH","Y",24,4
"GOM01",42.3,-70.3,"2024-04-06","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-07","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-04-08","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-04-09","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-10","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-04-11","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-12","RIWH","Y",24,2
"GOM01",42.3,-70.3,"2024-04-13","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-14","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-15","RIWH",,,
"GOM01",42.3,-70.3,"2024-04-16","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-17","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-18","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-19","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-20","RIWH",,,
"GOM01",42.3,-70.3,"2024-04-21","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-22","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-23","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-24","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-25","RIWH","N",20,0
"GOM01",42.3,-70.3,"2024-04-26","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-27","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-28","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-29","RIWH","N",24,0
"GOM01",42.3,-70.3,"2024-04-30","RIWH",,,
"GOM02",42.95,-69.6,"2024-01-01","RIWH",,,
"GOM02",42.95,-69.6,"2024-01-02","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-03","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-04","RIWH",,,
"GOM02",42.95,-69.6,"2024-01-05","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-06","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-07","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-08","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-09","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-01-10","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-11","RIWH","Y",20,5
"GOM02",42.95,-69.6,"2024-01-12","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-13","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-01-14","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-15","RIWH",,,
"GOM02",42.95,-69.6,"2024-01-16","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-17","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-18","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-01-19","RIWH","Y",24,4
"GOM02",42.95,-69.6,"2024-01-20","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-21","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-22","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-23","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-24","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-25","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-26","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-01-27","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-28","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-01-29","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-30","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-01-31","RIWH","Y",20,1
"GOM02",42.95,-69.6,"2024-02-01","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-02","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-03","RIWH","Y",24,1
"GOM02",42.95,-69.6,"2024-02-04","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-05","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-02-06","RIWH",,,
"GOM02",42.95,-69.6,"2024-02-07","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-02-08","RIWH",,,
"GOM02",42.95,-69.6,"2024-02-09","RIWH",,,
"GOM02",42.95,-69.6,"2024-02-10","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-11","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-02-12","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-13","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-14","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-02-15","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-16","RIWH",,,
"GOM02",42.95,-69.6,"2024-02-17","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-18","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-19","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-20","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-02-21","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-22","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-23","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-24","RIWH","Y",24,7
"GOM02",42.95,-69.6,"2024-02-25","RIWH",,,
"GOM02",42.95,-69.6,"2024-02-26","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-02-27","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-02-28","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-02-29","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-01","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-02","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-03","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-03-04","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-05","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-06","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-07","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-08","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-03-09","RIWH","Y",24,2
"GOM02",42.95,-69.6,"2024-03-10","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-03-11","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-03-12","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-13","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-14","RIWH",,,
"GOM02",42.95,-69.6,"2024-03-15","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-16","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-17","RIWH",,,
"GOM02",42.95,-69.6,"2024-03-18","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-03-19","RIWH",,,
"GOM02",42.95,-69.6,"2024-03-20","RIWH","Y",24,3
"GOM02",42.95,-69.6,"2024-03-21","RIWH",,,
"GOM02",42.95,-69.6,"2024-03-22","RIWH",,,
"GOM02",42.95,-69.6,"2024-03-23","RIWH","Y",24,4
"GOM02",42.95,-69.6,"2024-03-24","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-25","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-26","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-27","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-28","RIWH",,,
"GOM02",42.95,-69.6,"2024-03-29","RIWH",,,
"GOM02",42.95,-69.6,"2024-03-30","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-03-31","RIWH",,,
"GOM02",42.95,-69.6,"2024-04-01","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-04-02","RIWH","Y",24,3
"GOM02",42.95,-69.6,"2024-04-03","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-04-04","RIWH",,,
"GOM02",42.95,-69.6,"2024-04-05","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-06","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-07","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-08","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-04-09","RIWH","Y",24,4
"GOM02",42.95,-69.6,"2024-04-10","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-11","RIWH",,,
"GOM02",42.95,-69.6,"2024-04-12","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-13","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-14","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-15","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-16","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-17","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-18","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-04-19","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-20","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-21","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-22","RIWH",,,
"GOM02",42.95,-69.6,"2024-04-23","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-24","RIWH",,,
"GOM02",42.95,-69.6,"2024-04-25","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-26","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-27","RIWH","N",24,0
"GOM02",42.95,-69.6,"2024-04-28","RIWH",,,
"GOM02",42.95,-69.6,"2024-04-29","RIWH","N",20,0
"GOM02",42.95,-69.6,"2024-04-30","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-01-01","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-01-02","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-01-03","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-01-04","RIWH","Y",24,1
"MASSBAY",42.35,-70.7,"2024-01-05","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-01-06","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-01-07","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-01-08","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-01-09","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-01-10","RIWH","Y",24,5
"MASSBAY",42.35,-70.7,"2024-01-11","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-01-12","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-01-13","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-01-14","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-01-15","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-01-16","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-01-17","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-01-18","RIWH","Y",24,2
"MASSBAY",42.35,-70.7,"2024-01-19","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-01-20","RIWH","Y",24,4
"MASSBAY",42.35,-70.7,"2024-01-21","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-01-22","RIWH","Y",20,3
"MASSBAY",42.35,-70.7,"2024-01-23","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-01-24","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-01-25","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-01-26","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-01-27","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-01-28","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-01-29","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-01-30","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-01-31","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-02-01","RIWH","Y",24,4
"MASSBAY",42.35,-70.7,"2024-02-02","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-02-03","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-02-04","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-02-05","RIWH","Y",24,1
"MASSBAY",42.35,-70.7,"2024-02-06","RIWH","Y",24,5
"MASSBAY",42.35,-70.7,"2024-02-07","RIWH","Y",24,5
"MASSBAY",42.35,-70.7,"2024-02-08","RIWH","Y",24,1
"MASSBAY",42.35,-70.7,"2024-02-09","RIWH","Y",24,5
"MASSBAY",42.35,-70.7,"2024-02-10","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-02-11","RIWH","Y",24,2
"MASSBAY",42.35,-70.7,"2024-02-12","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-02-13","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-02-14","RIWH","Y",24,5
"MASSBAY",42.35,-70.7,"2024-02-15","RIWH","Y",20,1
"MASSBAY",42.35,-70.7,"2024-02-16","RIWH","Y",24,2
"MASSBAY",42.35,-70.7,"2024-02-17","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-02-18","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-02-19","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-02-20","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-02-21","RIWH","Y",24,4
"MASSBAY",42.35,-70.7,"2024-02-22","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-02-23","RIWH","Y",24,6
"MASSBAY",42.35,-70.7,"2024-02-24","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-02-25","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-02-26","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-02-27","RIWH","Y",24,4
"MASSBAY",42.35,-70.7,"2024-02-28","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-02-29","RIWH","Y",24,2
"MASSBAY",42.35,-70.7,"2024-03-01","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-03-02","RIWH","Y",24,5
"MASSBAY",42.35,-70.7,"2024-03-03","RIWH","Y",24,4
"MASSBAY",42.35,-70.7,"2024-03-04","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-03-05","RIWH","Y",24,4
"MASSBAY",42.35,-70.7,"2024-03-06","RIWH","Y",24,2
"MASSBAY",42.35,-70.7,"2024-03-07","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-03-08","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-03-09","RIWH","Y",20,2
"MASSBAY",42.35,-70.7,"2024-03-10","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-03-11","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-03-12","RIWH","Y",24,7
"MASSBAY",42.35,-70.7,"2024-03-13","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-03-14","RIWH","Y",24,6
"MASSBAY",42.35,-70.7,"2024-03-15","RIWH","Y",24,2
"MASSBAY",42.35,-70.7,"2024-03-16","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-03-17","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-03-18","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-03-19","RIWH","Y",20,2
"MASSBAY",42.35,-70.7,"2024-03-20","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-03-21","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-03-22","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-03-23","RIWH","Y",20,4
"MASSBAY",42.35,-70.7,"2024-03-24","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-03-25","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-03-26","RIWH","Y",24,6
"MASSBAY",42.35,-70.7,"2024-03-27","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-03-28","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-03-29","RIWH","Y",24,5
"MASSBAY",42.35,-70.7,"2024-03-30","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-03-31","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-04-01","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-04-02","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-04-03","RIWH","Y",24,2
"MASSBAY",42.35,-70.7,"2024-04-04","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-04-05","RIWH","Y",20,3
"MASSBAY",42.35,-70.7,"2024-04-06","RIWH","Y",24,5
"MASSBAY",42.35,-70.7,"2024-04-07","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-04-08","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-04-09","RIWH","Y",24,1
"MASSBAY",42.35,-70.7,"2024-04-10","RIWH","Y",24,1
"MASSBAY",42.35,-70.7,"2024-04-11","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-04-12","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-04-13","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-04-14","RIWH","Y",24,1
"MASSBAY",42.35,-70.7,"2024-04-15","RIWH","Y",24,3
"MASSBAY",42.35,-70.7,"2024-04-16","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-04-17","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-04-18","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-04-19","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-04-20","RIWH","Y",24,1
"MASSBAY",42.35,-70.7,"2024-04-21","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-04-22","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-04-23","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-04-24","RIWH","Y",24,2
"MASSBAY",42.35,-70.7,"2024-04-25","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-04-26","RIWH",,,
"MASSBAY",42.35,-70.7,"2024-04-27","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-04-28","RIWH","N",24,0
"MASSBAY",42.35,-70.7,"2024-04-29","RIWH","N",20,0
"MASSBAY",42.35,-70.7,"2024-04-30","RIWH",,,
"JORDANBASIN",43.6,-68.2,"2024-01-01","RIWH","Y",24,1
"JORDANBASIN",43.6,-68.2,"2024-01-02","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-03","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-04","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-05","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-06","RIWH",,,
"JORDANBASIN",43.6,-68.2,"2024-01-07","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-08","RIWH",,,
"JORDANBASIN",43.6,-68.2,"2024-01-09","RIWH","Y",24,3
"JORDANBASIN",43.6,-68.2,"2024-01-10","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-11","RIWH","N",20,0
"JORDANBASIN",43.6,-68.2,"2024-01-12","RIWH","N",20,0
"JORDANBASIN",43.6,-68.2,"2024-01-13","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-14","RIWH","N",20,0
"JORDANBASIN",43.6,-68.2,"2024-01-15","RIWH","N",20,0
"JORDANBASIN",43.6,-68.2,"2024-01-16","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-17","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-18","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-19","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-20","RIWH",,,
"JORDANBASIN",43.6,-68.2,"2024-01-21","RIWH","N",20,0
"JORDANBASIN",43.6,-68.2,"2024-01-22","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-23","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-24","RIWH","N",20,0
"JORDANBASIN",43.6,-68.2,"2024-01-25","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-26","RIWH",,,
"JORDANBASIN",43.6,-68.2,"2024-01-27","RIWH",,,
"JORDANBASIN",43.6,-68.2,"2024-01-28","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-29","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-30","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-01-31","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-02-01","RIWH",,,
"JORDANBASIN",43.6,-68.2,"2024-02-02","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-02-03","RIWH","N",20,0
"JORDANBASIN",43.6,-68.2,"2024-02-04","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-02-05","RIWH","Y",20,4
"JORDANBASIN",43.6,-68.2,"2024-02-06","RIWH","N",24,0
"JORDANBASIN",43.6,-68.2,"2024-02-07","RIWH","N",20,0
"JORDANBASIN",43.6,-68.2,"2024-02-08","RIWH","N",24,0
