"FILEID","EVENTNO","YEAR","MONTH","DAY","TIME","LAT_DD","LONG_DD","LEGTYPE","LEGSTAGE","LEGNO","ALT","BEAUFORT","VISIBLTY","CLOUD","GLAREL","GLARER","SPECCODE","IDREL","NUMBER","NUMCALF","SIGHTNO","STRIP","ANGLEL","ANGLER","S_LAT","S_LONG","STRATUM","PLATFORM"
"AA240402",35,2024,4,2,"134320",43.35,-68.7,2,1,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",36,2024,4,2,"134345",43.36,-68.7,2,2,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",37,2024,4,2,"134410",43.37,-68.7,2,2,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",38,2024,4,2,"134435",43.38,-68.7,2,2,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",39,2024,4,2,"134500",43.39,-68.7,2,2,4,229,5,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",40,2024,4,2,"134525",43.4,-68.7,2,2,4,229,5,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",41,2024,4,2,"134640",43.35,-68.6,2,1,5,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",42,2024,4,2,"134705",43.36,-68.6,2,2,5,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",43,2024,4,2,"134730",43.37,-68.6,2,2,5,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",44,2024,4,2,"134755",43.38,-68.6,2,2,5,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",45,2024,4,2,"134820",43.39,-68.6,2,2,5,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",46,2024,4,2,"134845",43.4,-68.6,2,2,5,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",47,2024,4,2,"134910",43.41,-68.6,2,2,5,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",48,2024,4,2,"134935",43.42,-68.6,2,5,5,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",49,2024,4,2,"135050",43.45,-68.7,2,1,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",50,2024,4,2,"135115",43.46,-68.7,2,2,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",51,2024,4,2,"135140",43.47,-68.7,2,2,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",52,2024,4,2,"135205",43.48,-68.7,2,2,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",53,2024,4,2,"135230",43.49,-68.7,2,2,4,229,2,5,2,0,1,"RIWH",1,1,,4,,,,,,"0",210
"AA240402",54,2024,4,2,"135255",43.5,-68.7,2,2,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",55,2024,4,2,"135320",43.51,-68.7,2,2,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",56,2024,4,2,"135345",43.52,-68.7,2,2,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
"AA240402",57,2024,4,2,"135410",43.53,-68.7,2,5,4,229,2,5,2,0,1,,,,,,,,,,,"0",210
